date,rain_mm,temp_c,humid_pct,press_hpa
2022-01-01,4.91,27.26,84.88,1008.1999999999999
2022-01-02,9.7,27.21,81.53,1007.6999999999999
2022-01-03,11.11,26.68,80.03,1008.4000000000001
2022-01-04,0.22,26.73,73.36,1009.0
2022-01-05,0.0,25.6,74.17,1008.6
2022-01-06,0.0,25.9,75.97,1007.8
2022-01-07,0.06,26.91,84.7,1007.6999999999999
2022-01-08,0.26,27.26,87.24,1007.3000000000001
2022-01-09,0.22,27.24,80.52,1006.9
2022-01-10,0.14,26.21,84.97,1006.0
2022-01-11,0.0,27.09,83.31,1006.5
2022-01-12,0.0,27.03,86.85,1007.9000000000001
2022-01-13,0.01,27.03,88.1,1009.7
2022-01-14,0.0,26.48,87.66,1009.5999999999999
2022-01-15,0.0,26.71,87.45,1008.5
2022-01-16,0.1,26.17,88.18,1009.2
2022-01-17,0.03,26.55,84.56,1010.0
2022-01-18,0.14,25.3,80.08,1010.8
2022-01-19,0.0,24.25,73.72,1010.3
2022-01-20,0.0,24.89,69.54,1009.4
2022-01-21,0.0,24.79,69.42,1008.7
2022-01-22,0.0,24.65,70.6,1009.0
2022-01-23,0.03,25.17,72.23,1008.4000000000001
2022-01-24,0.1,25.72,75.05,1007.6999999999999
2022-01-25,0.07,24.46,73.47,1007.5
2022-01-26,0.0,24.31,69.31,1007.4
2022-01-27,0.01,25.13,68.81,1008.1999999999999
2022-01-28,0.02,25.85,71.66,1007.8
2022-01-29,0.02,25.56,77.08,1008.1999999999999
2022-01-30,0.0,23.83,73.3,1008.3
2022-01-31,0.0,23.38,70.83,1007.5
2022-02-01,0.0,23.84,66.09,1007.9000000000001
2022-02-02,0.0,24.3,68.7,1008.1999999999999
2022-02-03,0.0,25.19,80.02,1009.0999999999999
2022-02-04,0.0,25.91,84.24,1009.2
2022-02-05,0.0,25.93,76.19,1008.5
2022-02-06,0.0,25.17,68.31,1008.3
2022-02-07,0.0,25.55,68.51,1008.1
2022-02-08,0.0,26.49,81.65,1007.8
2022-02-09,0.0,27.2,85.51,1007.3000000000001
2022-02-10,0.54,27.25,86.38,1006.5999999999999
2022-02-11,0.33,27.45,85.81,1006.3
2022-02-12,0.37,27.31,85.81,1007.0999999999999
2022-02-13,0.24,27.48,83.13,1007.0999999999999
