row,col,lat,lon,LULC,SoilGroup,Elevation_m,Slope_mpm,DistRiver_m,DrainageDen_kmkm2,CN_AMCII,CN_Adj,PredRain_mm,Runoff_mm,FloodRiskIndex,RiskClass
0,0,6.4205000000000005,3.4705000000000004,Cultivated,C,40.15,0.0647,1240.5,2.553,85,71.3,0.0,0.0,0.11150844012596661,Low
0,1,6.4205000000000005,3.4715,Wetland,D,35.92,0.0587,1218.8,2.578,82,66.64,0.0,0.0,0.11881403049000201,Low
0,2,6.4205000000000005,3.4725,Urban_Built,D,34.58,0.0631,1197.0,2.744,92,83.45,0.0,0.0,0.17004115530598127,Low
0,3,6.4205000000000005,3.4735000000000005,Urban_Built,C,30.43,0.0606,1175.2,2.629,90,79.78,0.0,0.0,0.16538084350508273,Low
0,4,6.4205000000000005,3.4745,Cultivated,C,32.7,0.0542,1153.5,2.654,85,71.3,0.0,0.0,0.1532229841693635,Low
0,5,6.4205000000000005,3.4755000000000003,Urban_Built,C,28.88,0.0558,1131.7,2.809,90,79.78,0.0,0.0,0.19094551633433093,Low
0,6,6.4205000000000005,3.4764999999999997,Cultivated,D,25.03,0.0484,1109.9,2.89,89,78.01,0.0,0.0,0.21049240460559449,Low
0,7,6.4205000000000005,3.4775,Urban_Built,B,22.27,0.0471,1088.2,2.926,85,71.3,0.0,0.0,0.20476081913405236,Low
0,8,6.4205000000000005,3.4785000000000004,Urban_Built,D,19.51,0.0527,1066.4,2.756,92,83.45,0.0,0.0,0.22220885442888727,Low
0,9,6.4205000000000005,3.4795,Grass_Shrub,C,20.19,0.0531,1044.7,2.848,79,62.25,0.0,0.0,0.1766491208102312,Low
0,10,6.4205000000000005,3.4805,Urban_Built,A,18.23,0.0507,1022.9,2.807,77,59.48,0.0,0.0,0.17557159178585516,Low
0,11,6.4205000000000005,3.4815000000000005,Cultivated,C,14.27,0.0449,1001.1,3.281,85,71.3,0.0,0.0,0.2535505338411576,Low
0,12,6.4205000000000005,3.4825,Impervious_Road,C,10.08,0.0433,979.4,2.906,98,95.55,0.0,0.0,0.2988788571775298,Moderate
0,13,6.4205000000000005,3.4835000000000003,Impervious_Road,C,12.94,0.042,957.6,2.883,98,95.55,0.0,0.0,0.2965456619115363,Moderate
0,14,6.4205000000000005,3.4844999999999997,Urban_Built,C,6.7,0.0368,935.8,2.908,90,79.78,0.0,0.0,0.27862722379796634,Low
0,15,6.4205000000000005,3.4855,Urban_Built,C,8.53,0.0391,914.1,2.981,90,79.78,0.0,0.0,0.27966760361932164,Low
0,16,6.4205000000000005,3.4865000000000004,Impervious_Road,C,5.96,0.0367,892.3,2.959,98,95.55,0.0,0.0,0.32664651294647323,Moderate
0,17,6.4205000000000005,3.4875,Urban_Built,D,3.92,0.0364,870.5,2.988,92,83.45,0.0,0.0,0.30462158801908396,Moderate
0,18,6.4205000000000005,3.4885,Urban_Built,C,2.18,0.037,848.8,3.01,90,79.78,0.0,0.0,0.301215977091496,Moderate
0,19,6.4205000000000005,3.4895000000000005,Impervious_Road,C,1.0,0.0296,834.3,3.027,98,95.55,0.0,0.0,0.3546257771255077,High
1,0,6.4215,3.4705000000000004,Forest,C,37.29,0.0652,1131.7,2.68,77,59.48,0.0,0.0,0.10566233591091376,Low
1,1,6.4215,3.4715,Cultivated,C,35.54,0.0527,1109.9,2.705,85,71.3,0.0,0.0,0.15838868656013858,Low
1,2,6.4215,3.4725,Urban_Built,B,34.72,0.0574,1088.2,2.73,85,71.3,0.0,0.0,0.15722239750444278,Low
1,3,6.4215,3.4735000000000005,Grass_Shrub,D,30.69,0.0562,1066.4,2.762,84,69.71,0.0,0.0,0.16579676521700834,Low
1,4,6.4215,3.4745,Impervious_Road,C,27.6,0.0546,1044.7,2.847,98,95.55,0.0,0.0,0.24470461627064294,Low
1,5,6.4215,3.4755000000000003,Urban_Built,C,28.26,0.0598,1022.9,2.807,90,79.78,0.0,0.0,0.197095557928081,Low
1,6,6.4215,3.4764999999999997,Urban_Built,D,24.67,0.0444,1001.1,3.023,92,83.45,0.0,0.0,0.2496634324694831,Low
1,7,6.4215,3.4775,Urban_Built,D,21.32,0.0516,979.4,3.109,92,83.45,0.0,0.0,0.2534112915364781,Low
1,8,6.4215,3.4785000000000004,Urban_Built,C,22.08,0.0438,957.6,2.883,90,79.78,0.0,0.0,0.2403231279249246,Low
1,9,6.4215,3.4795,Urban_Built,C,18.32,0.0444,935.8,2.908,90,79.78,0.0,0.0,0.24947752019645206,Low
1,10,6.4215,3.4805,Grass_Shrub,D,16.73,0.0411,914.1,2.934,84,69.71,0.0,0.0,0.2355619586214637,Low
1,11,6.4215,3.4815000000000005,Impervious_Road,C,15.51,0.0538,892.3,2.998,98,95.55,0.0,0.0,0.29071994544802143,Moderate
1,12,6.4215,3.4825,Urban_Built,D,10.48,0.0389,870.5,2.984,92,83.45,0.0,0.0,0.2903062579142612,Moderate
1,13,6.4215,3.4835000000000003,Urban_Built,D,12.43,0.038,848.8,3.289,92,83.45,0.0,0.0,0.31132507347734945,Moderate
1,14,6.4215,3.4844999999999997,Urban_Built,C,8.57,0.038,827.0,3.169,90,79.78,0.0,0.0,0.3024802105508511,Moderate
1,15,6.4215,3.4855,Urban_Built,C,3.99,0.0409,805.3,3.534,90,79.78,0.0,0.0,0.33309850331300145,High
1,16,6.4215,3.4865000000000004,Grass_Shrub,D,5.02,0.0453,783.5,3.152,84,69.71,0.0,0.0,0.27665866519463783,Low
1,17,6.4215,3.4875,Impervious_Road,C,3.21,0.0452,761.7,3.166,98,95.55,0.0,0.0,0.3466182710940548,High
1,18,6.4215,3.4885,Forest,B,3.55,0.0449,740.0,3.137,66,45.98,0.0,0.0,0.22425390688098176,Low
1,19,6.4215,3.4895000000000005,Urban_Built,C,1.0,0.0305,723.6,3.349,90,79.78,0.0,0.0,0.34735350030924184,High
2,0,6.422499999999999,3.4705000000000004,Wetland,C,37.12,0.0592,1022.9,3.229,80,63.68,0.0,0.0,0.17259652828989056,Low
2,1,6.422499999999999,3.4715,Urban_Built,C,31.25,0.056,1001.1,2.832,90,79.78,0.0,0.0,0.2012030471361961,Low
2,2,6.422499999999999,3.4725,Impervious_Road,B,32.58,0.0596,979.4,2.857,98,95.55,0.0,0.0,0.2369504508658662,Low
2,3,6.422499999999999,3.4735000000000005,Urban_Built,B,32.13,0.0513,957.6,2.883,85,71.3,0.0,0.0,0.192929504087244,Low
2,4,6.422499999999999,3.4745,Urban_Built,C,31.72,0.0517,935.8,2.908,90,79.78,0.0,0.0,0.21783689284816057,Low
